locus_tag	ftype	length_bp	gene	EC_number	COG	product
GIAELINL_00001	CDS	2217				hypothetical protein
GIAELINL_00002	CDS	1242	pepT_1	3.4.11.4	COG2195	Peptidase T
GIAELINL_00003	CDS	1860				hypothetical protein
GIAELINL_00004	CDS	612		3.2.2.-		Putative 3-methyladenine DNA glycosylase
GIAELINL_00005	CDS	1137		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
GIAELINL_00006	CDS	1302	dauA		COG0659	C4-dicarboxylic acid transporter DauA
GIAELINL_00007	CDS	333			COG0640	putative HTH-type transcriptional regulator
GIAELINL_00008	CDS	477	greA_1		COG0782	Transcription elongation factor GreA
GIAELINL_00009	CDS	1392	thrC	4.2.3.1	COG0498	Threonine synthase
GIAELINL_00010	CDS	858	rhaS_1			HTH-type transcriptional activator RhaS
GIAELINL_00011	CDS	4419	xynA1	3.2.1.8	COG3693	Endo-1,4-beta-xylanase A
GIAELINL_00012	CDS	2136				hypothetical protein
GIAELINL_00013	CDS	537				hypothetical protein
GIAELINL_00014	CDS	1614	bmr3_1			Multidrug resistance protein 3
GIAELINL_00015	CDS	420	yusO			putative HTH-type transcriptional regulator YusO
GIAELINL_00016	CDS	267				hypothetical protein
GIAELINL_00017	CDS	1722	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
GIAELINL_00018	CDS	1869	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
GIAELINL_00019	CDS	2544				hypothetical protein
GIAELINL_00020	CDS	831	melC_1		COG0395	Melibiose/raffinose/stachyose import permease protein MelC
GIAELINL_00021	CDS	885	melD_1		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
GIAELINL_00022	CDS	1854				hypothetical protein
GIAELINL_00023	CDS	1638	rhaR_1			HTH-type transcriptional activator RhaR
GIAELINL_00024	CDS	1293				hypothetical protein
GIAELINL_00025	CDS	1113	fgd_1	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
GIAELINL_00026	CDS	918	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
GIAELINL_00027	CDS	672	hchA	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
GIAELINL_00028	CDS	876	argP			HTH-type transcriptional regulator ArgP
GIAELINL_00029	CDS	765				hypothetical protein
GIAELINL_00030	CDS	879	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
GIAELINL_00031	CDS	759		1.1.1.391	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 2
GIAELINL_00032	CDS	756	yokD	2.3.1.-	COG2746	SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
GIAELINL_00033	CDS	966	fhuD_1		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
GIAELINL_00034	CDS	1011	yfiZ_1		COG0609	putative siderophore transport system permease protein YfiZ
GIAELINL_00035	CDS	1008	yfhA_1		COG0609	putative siderophore transport system permease protein YfhA
GIAELINL_00036	CDS	726	yxlF	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
GIAELINL_00037	CDS	822				hypothetical protein
GIAELINL_00038	CDS	597				hypothetical protein
GIAELINL_00039	CDS	1344	nosD			putative ABC transporter binding protein NosD
GIAELINL_00040	CDS	384				hypothetical protein
GIAELINL_00041	CDS	1746	oppA		COG4166	Oligopeptide-binding protein OppA
GIAELINL_00042	CDS	933	dppB_1		COG0601	Dipeptide transport system permease protein DppB
GIAELINL_00043	CDS	948	oppC		COG1173	Oligopeptide transport system permease protein OppC
GIAELINL_00044	CDS	1020	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
