locus_tag	ftype	length_bp	gene	EC_number	COG	product
ACKBPFDB_00001	CDS	1338	dnaA		COG0593	Chromosomal replication initiator protein DnaA
ACKBPFDB_00002	CDS	1116	dnaN			Beta sliding clamp
ACKBPFDB_00003	CDS	228				hypothetical protein
ACKBPFDB_00004	CDS	1101	recF		COG1195	DNA replication and repair protein RecF
ACKBPFDB_00005	CDS	234				hypothetical protein
ACKBPFDB_00006	CDS	1902	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
ACKBPFDB_00007	CDS	2427	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
ACKBPFDB_00008	rRNA	1529				16S ribosomal RNA
ACKBPFDB_00009	tRNA	77				tRNA-Ile(gat)
ACKBPFDB_00010	rRNA	2944				23S ribosomal RNA
ACKBPFDB_00011	rRNA	109				5S ribosomal RNA
ACKBPFDB_00012	CDS	897	pdxS_1	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
ACKBPFDB_00013	CDS	570	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
ACKBPFDB_00014	CDS	1146		2.6.1.51	COG0075	Serine-pyruvate aminotransferase
ACKBPFDB_00015	CDS	1590	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
ACKBPFDB_00016	CDS	1269	serS	6.1.1.11		Serine--tRNA ligase
ACKBPFDB_00017	tRNA	90				tRNA-Ser(tga)
ACKBPFDB_00018	tRNA	95				tRNA-Ser(gct)
ACKBPFDB_00019	tRNA	77				tRNA-Arg(acg)
ACKBPFDB_00020	tRNA	76				tRNA-Arg(cct)
ACKBPFDB_00021	CDS	1185			COG0582	Putative prophage phiRv2 integrase
ACKBPFDB_00022	CDS	456				hypothetical protein
ACKBPFDB_00023	CDS	264				hypothetical protein
ACKBPFDB_00024	CDS	621	dnaG_1	2.7.7.-		DNA primase
ACKBPFDB_00025	CDS	1278				hypothetical protein
ACKBPFDB_00026	CDS	240				hypothetical protein
ACKBPFDB_00027	CDS	171				hypothetical protein
ACKBPFDB_00028	CDS	207				hypothetical protein
ACKBPFDB_00029	CDS	357				hypothetical protein
ACKBPFDB_00030	CDS	189				hypothetical protein
ACKBPFDB_00031	CDS	573				hypothetical protein
ACKBPFDB_00032	CDS	1245				hypothetical protein
ACKBPFDB_00033	CDS	138				hypothetical protein
ACKBPFDB_00034	CDS	2025				hypothetical protein
ACKBPFDB_00035	CDS	1161				hypothetical protein
ACKBPFDB_00036	CDS	465				hypothetical protein
ACKBPFDB_00037	CDS	291				hypothetical protein
ACKBPFDB_00038	CDS	282				hypothetical protein
ACKBPFDB_00039	CDS	231				hypothetical protein
ACKBPFDB_00040	CDS	141				hypothetical protein
ACKBPFDB_00041	CDS	123				hypothetical protein
ACKBPFDB_00042	CDS	171				hypothetical protein
ACKBPFDB_00043	CDS	225				hypothetical protein
ACKBPFDB_00044	CDS	144				hypothetical protein
ACKBPFDB_00045	CDS	222				hypothetical protein
ACKBPFDB_00046	CDS	849	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
ACKBPFDB_00047	tRNA	94				tRNA-Ser(cga)
ACKBPFDB_00048	CDS	255				hypothetical protein
ACKBPFDB_00049	CDS	333				hypothetical protein
ACKBPFDB_00050	CDS	228				hypothetical protein
ACKBPFDB_00051	CDS	687	mqnB	3.2.2.26	COG0775	Futalosine hydrolase
ACKBPFDB_00052	CDS	852	mqnD	4.1.-.-	COG2107	1,4-dihydroxy-6-naphtoate synthase
ACKBPFDB_00053	CDS	195	cspB_1		COG1278	Cold shock protein CspB
ACKBPFDB_00054	CDS	888				hypothetical protein
ACKBPFDB_00055	CDS	735			COG3385	IS4 family transposase ISGur1
ACKBPFDB_00056	CDS	1080			COG1638	Solute-binding protein
ACKBPFDB_00057	CDS	561				hypothetical protein
ACKBPFDB_00058	CDS	1308	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
ACKBPFDB_00059	CDS	1248	baiN_1	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
ACKBPFDB_00060	CDS	1449	cshA	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshA
ACKBPFDB_00061	tRNA	94				tRNA-Ser(gga)
ACKBPFDB_00062	CDS	1953	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
ACKBPFDB_00063	CDS	315			COG0718	Nucleoid-associated protein
ACKBPFDB_00064	CDS	609	recR		COG0353	Recombination protein RecR
ACKBPFDB_00065	CDS	729				hypothetical protein
ACKBPFDB_00066	CDS	1041	yjmC	1.1.1.-	COG2055	putative oxidoreductase YjmC
ACKBPFDB_00067	CDS	1167	suyB	4.4.1.24		(2R)-sulfolactate sulfo-lyase subunit beta
ACKBPFDB_00068	CDS	285				hypothetical protein
ACKBPFDB_00069	CDS	1020				hypothetical protein
ACKBPFDB_00070	CDS	1998				hypothetical protein
ACKBPFDB_00071	CDS	900	ttdA_1	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
ACKBPFDB_00072	CDS	591	ttdB	4.2.1.32	COG1838	L(+)-tartrate dehydratase subunit beta
ACKBPFDB_00073	CDS	390				hypothetical protein
ACKBPFDB_00074	CDS	327				hypothetical protein
ACKBPFDB_00075	CDS	726	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
ACKBPFDB_00076	CDS	1734	frdA_1	1.3.5.4		Fumarate reductase flavoprotein subunit
ACKBPFDB_00077	CDS	702	lutR		COG2186	HTH-type transcriptional regulator LutR
ACKBPFDB_00078	CDS	918				hypothetical protein
ACKBPFDB_00079	CDS	267				hypothetical protein
ACKBPFDB_00080	CDS	675				hypothetical protein
ACKBPFDB_00081	CDS	1089	padG_1	1.2.1.58		NADH-dependent phenylglyoxylate dehydrogenase subunit alpha
ACKBPFDB_00082	CDS	762				hypothetical protein
ACKBPFDB_00083	CDS	567	porC_1	1.2.7.1	COG1014	Pyruvate synthase subunit PorC
ACKBPFDB_00084	CDS	249				hypothetical protein
ACKBPFDB_00085	CDS	261				hypothetical protein
ACKBPFDB_00086	CDS	1464	speA	4.1.1.19	COG1982	Arginine decarboxylase
ACKBPFDB_00087	CDS	618	tmk	2.7.4.9	COG0125	Thymidylate kinase
ACKBPFDB_00088	CDS	996				hypothetical protein
ACKBPFDB_00089	CDS	933				hypothetical protein
ACKBPFDB_00090	CDS	861	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
ACKBPFDB_00091	CDS	267				hypothetical protein
ACKBPFDB_00092	CDS	1557	metG	6.1.1.10		Methionine--tRNA ligase
ACKBPFDB_00093	CDS	825	dtd3_1	3.1.1.96		D-aminoacyl-tRNA deacylase
ACKBPFDB_00094	CDS	546	cobO_1	2.5.1.17		Corrinoid adenosyltransferase
ACKBPFDB_00095	CDS	996				hypothetical protein
ACKBPFDB_00096	CDS	873	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
ACKBPFDB_00097	CDS	471				hypothetical protein
ACKBPFDB_00098	CDS	591				hypothetical protein
ACKBPFDB_00099	CDS	876	yabG	3.4.-.-		Sporulation-specific protease YabG
ACKBPFDB_00100	CDS	1002				hypothetical protein
ACKBPFDB_00101	CDS	393				hypothetical protein
ACKBPFDB_00102	CDS	1689				hypothetical protein
ACKBPFDB_00103	CDS	1539				hypothetical protein
ACKBPFDB_00104	CDS	1119				hypothetical protein
ACKBPFDB_00105	CDS	297			COG0718	Nucleoid-associated protein
ACKBPFDB_00106	CDS	261				hypothetical protein
ACKBPFDB_00107	CDS	459				hypothetical protein
ACKBPFDB_00108	CDS	603				hypothetical protein
ACKBPFDB_00109	CDS	234				hypothetical protein
ACKBPFDB_00110	CDS	447				hypothetical protein
ACKBPFDB_00111	CDS	720	zupT		COG0428	Zinc transporter ZupT
ACKBPFDB_00112	CDS	573				hypothetical protein
ACKBPFDB_00113	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
ACKBPFDB_00114	CDS	687	rspR		COG1802	HTH-type transcriptional repressor RspR
ACKBPFDB_00115	CDS	759				hypothetical protein
ACKBPFDB_00116	CDS	255	spoVG_1		COG2088	Putative septation protein SpoVG
ACKBPFDB_00117	CDS	1380	glmU			Bifunctional protein GlmU
ACKBPFDB_00118	CDS	945	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
ACKBPFDB_00119	CDS	765				hypothetical protein
ACKBPFDB_00120	CDS	630	rplY			50S ribosomal protein L25
ACKBPFDB_00121	CDS	282				hypothetical protein
ACKBPFDB_00122	CDS	1143			COG3177	putative protein
ACKBPFDB_00123	CDS	1611				hypothetical protein
ACKBPFDB_00124	CDS	1443				hypothetical protein
ACKBPFDB_00125	CDS	357				hypothetical protein
ACKBPFDB_00126	CDS	276				hypothetical protein
ACKBPFDB_00127	CDS	171				hypothetical protein
ACKBPFDB_00128	CDS	273				hypothetical protein
ACKBPFDB_00129	CDS	276				hypothetical protein
ACKBPFDB_00130	CDS	105				hypothetical protein
ACKBPFDB_00131	CDS	1065				hypothetical protein
ACKBPFDB_00132	CDS	228				hypothetical protein
ACKBPFDB_00133	CDS	201				hypothetical protein
ACKBPFDB_00134	CDS	327				hypothetical protein
ACKBPFDB_00135	CDS	234	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
ACKBPFDB_00136	CDS	576	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
ACKBPFDB_00137	CDS	369				hypothetical protein
ACKBPFDB_00138	CDS	225				hypothetical protein
ACKBPFDB_00139	CDS	3519	mfd	3.6.4.-		Transcription-repair-coupling factor
ACKBPFDB_00140	CDS	1026	prsA3	5.2.1.8	COG0760	Foldase protein PrsA 3
ACKBPFDB_00141	CDS	561	spoVT_1		COG2002	Stage V sporulation protein T
ACKBPFDB_00142	CDS	1482				hypothetical protein
ACKBPFDB_00143	CDS	273	hup			DNA-binding protein HU
ACKBPFDB_00144	CDS	264				hypothetical protein
ACKBPFDB_00145	CDS	282				hypothetical protein
ACKBPFDB_00146	CDS	948			COG2385	putative protein
ACKBPFDB_00147	CDS	285	yabP			Spore protein YabP
ACKBPFDB_00148	CDS	537				hypothetical protein
ACKBPFDB_00149	CDS	648				hypothetical protein
ACKBPFDB_00150	CDS	285				hypothetical protein
ACKBPFDB_00151	CDS	384	ftsL_1			Cell division protein FtsL
ACKBPFDB_00152	CDS	387	pnp_1	2.7.7.8		Polyribonucleotide nucleotidyltransferase
ACKBPFDB_00153	CDS	894	ppx2	3.6.1.11	COG0248	Exopolyphosphatase 2
ACKBPFDB_00154	CDS	2523	spoIIE	3.1.3.16	COG2208	Stage II sporulation protein E
ACKBPFDB_00155	CDS	1416	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
ACKBPFDB_00156	CDS	1827	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
ACKBPFDB_00157	CDS	450	ndk	2.7.4.6		Nucleoside diphosphate kinase
ACKBPFDB_00158	CDS	399				hypothetical protein
ACKBPFDB_00159	CDS	1761	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
ACKBPFDB_00160	CDS	477				hypothetical protein
ACKBPFDB_00161	CDS	609				hypothetical protein
ACKBPFDB_00162	CDS	1185				hypothetical protein
ACKBPFDB_00163	CDS	402	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
ACKBPFDB_00164	CDS	522	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
ACKBPFDB_00165	CDS	789	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
ACKBPFDB_00166	CDS	624	mtnX	3.1.3.87	COG4359	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
ACKBPFDB_00167	CDS	237				hypothetical protein
ACKBPFDB_00168	CDS	375				hypothetical protein
ACKBPFDB_00169	CDS	291				hypothetical protein
ACKBPFDB_00170	CDS	393				hypothetical protein
ACKBPFDB_00171	CDS	273	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
ACKBPFDB_00172	CDS	111				hypothetical protein
ACKBPFDB_00173	CDS	504	mug_1	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
ACKBPFDB_00174	CDS	549				hypothetical protein
ACKBPFDB_00175	CDS	642	nreC		COG2197	Oxygen regulatory protein NreC
ACKBPFDB_00176	CDS	1599				hypothetical protein
ACKBPFDB_00177	CDS	1623				hypothetical protein
ACKBPFDB_00178	CDS	225				hypothetical protein
ACKBPFDB_00179	CDS	918	xerD_1		COG4974	Tyrosine recombinase XerD
ACKBPFDB_00180	CDS	315				hypothetical protein
ACKBPFDB_00181	CDS	723	nasD_1	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
ACKBPFDB_00182	CDS	462				hypothetical protein
ACKBPFDB_00183	CDS	1716	ctpH			Methyl-accepting chemotaxis protein CtpH
ACKBPFDB_00184	CDS	303				hypothetical protein
ACKBPFDB_00185	CDS	456				hypothetical protein
ACKBPFDB_00186	CDS	405				hypothetical protein
ACKBPFDB_00187	CDS	204				hypothetical protein
ACKBPFDB_00188	CDS	846				hypothetical protein
ACKBPFDB_00189	CDS	252				hypothetical protein
