locus_tag	ftype	length_bp	gene	EC_number	COG	product
OMMDKLHA_00001	CDS	1959	dnaA			Chromosomal replication initiator protein DnaA
OMMDKLHA_00002	CDS	1140	dnaN_1		COG0592	Beta sliding clamp
OMMDKLHA_00003	CDS	900		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
OMMDKLHA_00004	CDS	1134	recF		COG1195	DNA replication and repair protein RecF
OMMDKLHA_00005	CDS	291				hypothetical protein
OMMDKLHA_00006	CDS	1938	gyrBR	5.6.2.2		DNA gyrase subunit B, novobiocin-resistant
OMMDKLHA_00007	CDS	2613	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
OMMDKLHA_00008	CDS	759				hypothetical protein
OMMDKLHA_00009	tRNA	75				tRNA-Ile(gat)
OMMDKLHA_00010	CDS	216				hypothetical protein
OMMDKLHA_00011	CDS	138				hypothetical protein
OMMDKLHA_00012	CDS	1422				hypothetical protein
OMMDKLHA_00013	CDS	2556				hypothetical protein
OMMDKLHA_00014	CDS	321				hypothetical protein
OMMDKLHA_00015	CDS	120				hypothetical protein
OMMDKLHA_00016	CDS	1371	abaF_1			Fosfomycin resistance protein AbaF
OMMDKLHA_00017	CDS	1800	ydaP_1		COG0028	Putative thiamine pyrophosphate-containing protein YdaP
OMMDKLHA_00018	CDS	465				hypothetical protein
OMMDKLHA_00019	CDS	468				hypothetical protein
OMMDKLHA_00020	CDS	1659	katA_1	1.11.1.6	COG0753	Catalase
OMMDKLHA_00021	CDS	3255	fdhA_1	1.17.1.9		Formate dehydrogenase subunit alpha
OMMDKLHA_00022	CDS	885	fdnH		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
OMMDKLHA_00023	CDS	1101				hypothetical protein
OMMDKLHA_00024	CDS	498	gpt	2.4.2.22		Xanthine phosphoribosyltransferase
OMMDKLHA_00025	CDS	1086	bkdA_1	1.2.4.4	COG1071	3-methyl-2-oxobutanoate dehydrogenase subunit alpha
OMMDKLHA_00026	CDS	993	bkdB_1	1.2.4.4	COG0022	3-methyl-2-oxobutanoate dehydrogenase subunit beta
OMMDKLHA_00027	CDS	1401	bkdB_2	2.3.1.168	COG0508	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
OMMDKLHA_00028	CDS	1158	cpg2	3.4.17.11		Carboxypeptidase G2
OMMDKLHA_00029	CDS	1521	abgT		COG2978	p-aminobenzoyl-glutamate transport protein
OMMDKLHA_00030	CDS	1032				hypothetical protein
OMMDKLHA_00031	CDS	2037	paaZ		COG2030	Bifunctional protein PaaZ
OMMDKLHA_00032	CDS	594	cnrH			RNA polymerase sigma factor CnrH
OMMDKLHA_00033	CDS	1098				hypothetical protein
OMMDKLHA_00034	CDS	519				hypothetical protein
OMMDKLHA_00035	CDS	963	tri1	3.2.2.19	COG1397	ADP-ribosylarginine hydrolase Tri1
OMMDKLHA_00036	CDS	1854	spk1_1	2.7.11.1		Serine/threonine-protein kinase PK-1
OMMDKLHA_00037	CDS	843	azoB_1	1.7.-.-		NAD(P)H azoreductase
OMMDKLHA_00038	CDS	1176				hypothetical protein
OMMDKLHA_00039	CDS	855	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
OMMDKLHA_00040	CDS	741	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
OMMDKLHA_00041	CDS	900	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
OMMDKLHA_00042	CDS	1128				hypothetical protein
OMMDKLHA_00043	CDS	900	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
OMMDKLHA_00044	CDS	645	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
OMMDKLHA_00045	CDS	168				hypothetical protein
OMMDKLHA_00046	CDS	429				hypothetical protein
OMMDKLHA_00047	CDS	1182				hypothetical protein
OMMDKLHA_00048	CDS	834	bdhA_1	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
OMMDKLHA_00049	CDS	1254				hypothetical protein
OMMDKLHA_00050	CDS	234				hypothetical protein
OMMDKLHA_00051	CDS	495				hypothetical protein
OMMDKLHA_00052	CDS	1641	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
OMMDKLHA_00053	CDS	672				hypothetical protein
OMMDKLHA_00054	CDS	369				hypothetical protein
OMMDKLHA_00055	CDS	621				hypothetical protein
OMMDKLHA_00056	rRNA	1531				16S ribosomal RNA
OMMDKLHA_00057	rRNA	3078				23S ribosomal RNA
OMMDKLHA_00058	rRNA	109				5S ribosomal RNA
OMMDKLHA_00059	CDS	96				hypothetical protein
OMMDKLHA_00060	CDS	309				hypothetical protein
OMMDKLHA_00061	CDS	921				hypothetical protein
OMMDKLHA_00062	CDS	156				hypothetical protein
OMMDKLHA_00063	tRNA	78				tRNA-Ala(tgc)
OMMDKLHA_00064	CDS	429	whiB_1			Transcriptional regulator WhiB
OMMDKLHA_00065	CDS	642				hypothetical protein
OMMDKLHA_00066	CDS	633				hypothetical protein
OMMDKLHA_00067	CDS	525	cypB	5.2.1.8		Peptidyl-prolyl cis-trans isomerase B
OMMDKLHA_00068	CDS	921	glpG	3.4.21.105		Rhomboid protease GlpG
OMMDKLHA_00069	CDS	255	crgA			Cell division protein CrgA
OMMDKLHA_00070	CDS	1842	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
OMMDKLHA_00071	CDS	1509	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
OMMDKLHA_00072	CDS	1455	pbpA		COG0768	Penicillin-binding protein A
OMMDKLHA_00073	CDS	1410	rodA		COG0772	putative FtsW-like protein
OMMDKLHA_00074	CDS	1350	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
OMMDKLHA_00075	CDS	570	fhaB		COG1716	FHA domain-containing protein FhaB
OMMDKLHA_00076	CDS	768				hypothetical protein
OMMDKLHA_00077	tRNA	84				tRNA-Leu(cag)
OMMDKLHA_00078	CDS	744				hypothetical protein
OMMDKLHA_00079	CDS	1023				hypothetical protein
OMMDKLHA_00080	CDS	1956	agpA			Periplasmic alpha-galactoside-binding protein
OMMDKLHA_00081	CDS	1158	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
OMMDKLHA_00082	CDS	1077	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
OMMDKLHA_00083	CDS	1179				hypothetical protein
OMMDKLHA_00084	CDS	1002	dppB_1		COG0601	Dipeptide transport system permease protein DppB
