locus_tag	ftype	length_bp	gene	EC_number	COG	product
JDBOFGNM_00001	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
JDBOFGNM_00002	CDS	930	thrB	2.7.1.39	COG0083	Homoserine kinase
JDBOFGNM_00003	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
JDBOFGNM_00004	CDS	774	yaaA		COG3022	Peroxide stress resistance protein YaaA
JDBOFGNM_00005	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
JDBOFGNM_00006	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
JDBOFGNM_00007	CDS	336				hypothetical protein
JDBOFGNM_00008	CDS	591	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
JDBOFGNM_00009	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
JDBOFGNM_00010	CDS	705				hypothetical protein
JDBOFGNM_00011	CDS	405				hypothetical protein
JDBOFGNM_00012	CDS	249				hypothetical protein
JDBOFGNM_00013	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
JDBOFGNM_00014	CDS	1140	dnaJ		COG0484	Chaperone protein DnaJ
JDBOFGNM_00015	CDS	948	ybdO_1			putative HTH-type transcriptional regulator YbdO
JDBOFGNM_00016	CDS	345				hypothetical protein
JDBOFGNM_00017	CDS	534				hypothetical protein
JDBOFGNM_00018	CDS	444				hypothetical protein
JDBOFGNM_00019	CDS	2130				hypothetical protein
JDBOFGNM_00020	CDS	2997				hypothetical protein
JDBOFGNM_00021	CDS	696	iprA_1			Inhibitor of hydrogen peroxide resistance
JDBOFGNM_00022	CDS	543	elfA			Laminin-binding fimbrial subunit ElfA
JDBOFGNM_00023	CDS	687	fimC			Chaperone protein FimC
JDBOFGNM_00024	CDS	2604	elfC_1		COG3188	putative outer membrane usher protein ElfC
JDBOFGNM_00025	CDS	1008	sfmH			putative fimbrial-like protein SfmH
JDBOFGNM_00026	CDS	546	ycbU		COG3539	putative fimbrial-like protein YcbU
JDBOFGNM_00027	CDS	522	ycbV		COG3539	putative fimbrial-like protein YcbV
JDBOFGNM_00028	CDS	429	ycbF		COG3121	putative fimbrial chaperone YcbF
JDBOFGNM_00029	CDS	888				hypothetical protein
JDBOFGNM_00030	CDS	285				hypothetical protein
JDBOFGNM_00031	CDS	450				hypothetical protein
JDBOFGNM_00032	CDS	213				hypothetical protein
JDBOFGNM_00033	CDS	297				hypothetical protein
JDBOFGNM_00034	CDS	765				hypothetical protein
JDBOFGNM_00035	CDS	1494		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
JDBOFGNM_00036	CDS	1197	chuR_1	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
JDBOFGNM_00037	CDS	1254				hypothetical protein
JDBOFGNM_00038	CDS	1716	assT_1	2.8.2.22		Arylsulfate sulfotransferase AssT
JDBOFGNM_00039	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
JDBOFGNM_00040	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
JDBOFGNM_00041	CDS	264	rpsT		COG0268	30S ribosomal protein S20
JDBOFGNM_00042	CDS	939	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
JDBOFGNM_00043	CDS	2835	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
JDBOFGNM_00044	CDS	498	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
JDBOFGNM_00045	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
JDBOFGNM_00046	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
JDBOFGNM_00047	CDS	459				IS200/IS605 family transposase IS200F
JDBOFGNM_00048	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
JDBOFGNM_00049	CDS	630				hypothetical protein
JDBOFGNM_00050	CDS	102				hypothetical protein
JDBOFGNM_00051	CDS	738				hypothetical protein
JDBOFGNM_00052	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
JDBOFGNM_00053	CDS	3228	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
JDBOFGNM_00054	CDS	396				hypothetical protein
JDBOFGNM_00055	CDS	597	yrdA_1		COG0663	Protein YrdA
JDBOFGNM_00056	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
JDBOFGNM_00057	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
JDBOFGNM_00058	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
JDBOFGNM_00059	CDS	1143	caiA	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
JDBOFGNM_00060	CDS	1518	caiT		COG1292	L-carnitine/gamma-butyrobetaine antiporter
JDBOFGNM_00061	CDS	771	fixA		COG2086	Protein FixA
