locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJPEGDKI_00001	CDS	1320	dnaA		COG0593	Chromosomal replication initiator protein DnaA
IJPEGDKI_00002	CDS	1101	dnaN_1		COG0592	Beta sliding clamp
IJPEGDKI_00003	CDS	1269	eno	4.2.1.11	COG0148	Enolase
IJPEGDKI_00004	CDS	1425	pyk	2.7.1.40		Pyruvate kinase
IJPEGDKI_00005	CDS	1302	ptlI	1.14.15.32	COG2124	Pentalenene oxygenase
IJPEGDKI_00006	rRNA	1490				16S ribosomal RNA
IJPEGDKI_00007	CDS	1158				hypothetical protein
IJPEGDKI_00008	CDS	1032				IS701 family transposase ISMesi2
IJPEGDKI_00009	CDS	723	bshB2	3.5.1.-	COG2120	putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2
IJPEGDKI_00010	CDS	447				hypothetical protein
IJPEGDKI_00011	CDS	1263				IS256 family transposase ISPaac1
IJPEGDKI_00012	CDS	237				hypothetical protein
IJPEGDKI_00013	CDS	462	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
IJPEGDKI_00014	CDS	351	glnB			Nitrogen regulatory protein P-II
IJPEGDKI_00015	CDS	1368	nrgA			Ammonium transporter
IJPEGDKI_00016	CDS	915	hrcA		COG1420	Heat-inducible transcription repressor HrcA
IJPEGDKI_00017	CDS	999				hypothetical protein
IJPEGDKI_00018	CDS	663			COG1842	Phage shock protein A 
IJPEGDKI_00019	CDS	450				hypothetical protein
IJPEGDKI_00020	CDS	657				hypothetical protein
IJPEGDKI_00021	CDS	1032				IS701 family transposase ISMesi2
IJPEGDKI_00022	CDS	1866	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
IJPEGDKI_00023	CDS	642	yflN	3.-.-.-	COG0491	putative metallo-hydrolase YflN
IJPEGDKI_00024	CDS	441				hypothetical protein
IJPEGDKI_00025	CDS	369				hypothetical protein
IJPEGDKI_00026	CDS	723				hypothetical protein
IJPEGDKI_00027	CDS	951				hypothetical protein
IJPEGDKI_00028	CDS	915				hypothetical protein
IJPEGDKI_00029	CDS	972	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
IJPEGDKI_00030	CDS	2058	dapb1	3.4.14.-		Dipeptidyl aminopeptidase BI
IJPEGDKI_00031	CDS	540				hypothetical protein
IJPEGDKI_00032	CDS	2040	nasC	1.7.-.-	COG0243	Assimilatory nitrate reductase catalytic subunit
IJPEGDKI_00033	CDS	792				hypothetical protein
IJPEGDKI_00034	CDS	1068	ynfM			Inner membrane transport protein YnfM
IJPEGDKI_00035	CDS	1593	rocB		COG4187	Protein RocB
IJPEGDKI_00036	CDS	2199	priA_1	3.6.4.-	COG1198	Primosomal protein N'
IJPEGDKI_00037	CDS	852		5.1.3.31	COG1082	L-ribulose 3-epimerase
IJPEGDKI_00038	CDS	744	frcA_1	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
IJPEGDKI_00039	CDS	960	rbsC_1		COG1172	Ribose import permease protein RbsC
IJPEGDKI_00040	CDS	963	alsB		COG1879	D-allose-binding periplasmic protein
IJPEGDKI_00041	CDS	993	ccpA_1		COG1609	Catabolite control protein A
IJPEGDKI_00042	CDS	960	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
IJPEGDKI_00043	CDS	498	nrdR		COG1327	Transcriptional repressor NrdR
IJPEGDKI_00044	CDS	672				hypothetical protein
IJPEGDKI_00045	CDS	459	desVI	2.1.1.234		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose
IJPEGDKI_00046	CDS	210				hypothetical protein
IJPEGDKI_00047	CDS	498				hypothetical protein
IJPEGDKI_00048	CDS	1020	mshD	2.3.1.189		Mycothiol acetyltransferase
IJPEGDKI_00049	CDS	198				hypothetical protein
IJPEGDKI_00050	CDS	417				hypothetical protein
IJPEGDKI_00051	CDS	534				hypothetical protein
IJPEGDKI_00052	CDS	783	apaH	3.6.1.41		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
IJPEGDKI_00053	CDS	1065				hypothetical protein
IJPEGDKI_00054	CDS	480			COG2110	putative protein
IJPEGDKI_00055	CDS	1044	recF		COG1195	DNA replication and repair protein RecF
IJPEGDKI_00056	CDS	768				hypothetical protein
IJPEGDKI_00057	CDS	816				hypothetical protein
IJPEGDKI_00058	CDS	717				hypothetical protein
IJPEGDKI_00059	CDS	381				hypothetical protein
IJPEGDKI_00060	CDS	561				hypothetical protein
IJPEGDKI_00061	CDS	225				hypothetical protein
IJPEGDKI_00062	CDS	1098				hypothetical protein
IJPEGDKI_00063	CDS	1089	queA_1	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
IJPEGDKI_00064	CDS	336				hypothetical protein
IJPEGDKI_00065	CDS	369				hypothetical protein
IJPEGDKI_00066	CDS	1191				hypothetical protein
IJPEGDKI_00067	CDS	615	vraR_1			Response regulator protein VraR
IJPEGDKI_00068	CDS	390	pnp_1	2.7.7.8		Polyribonucleotide nucleotidyltransferase
IJPEGDKI_00069	CDS	1185	acdA	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
IJPEGDKI_00070	CDS	849				hypothetical protein
IJPEGDKI_00071	CDS	1233	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
IJPEGDKI_00072	CDS	1218	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
IJPEGDKI_00073	CDS	621	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
IJPEGDKI_00074	CDS	1029	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
IJPEGDKI_00075	CDS	429				hypothetical protein
IJPEGDKI_00076	CDS	687	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
IJPEGDKI_00077	CDS	1212				hypothetical protein
IJPEGDKI_00078	CDS	1215	dapE_1	3.5.1.18		putative succinyl-diaminopimelate desuccinylase
IJPEGDKI_00079	CDS	1506	sgrR			HTH-type transcriptional regulator SgrR
IJPEGDKI_00080	CDS	948	dppB_1		COG0601	Dipeptide transport system permease protein DppB
IJPEGDKI_00081	CDS	858	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
IJPEGDKI_00082	CDS	792	novJ	1.1.1.-		Short-chain reductase protein NovJ
IJPEGDKI_00083	CDS	1230	apgM			2,3-bisphosphoglycerate-independent phosphoglycerate mutase
IJPEGDKI_00084	CDS	327				hypothetical protein
IJPEGDKI_00085	CDS	531	ydaF	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
IJPEGDKI_00086	CDS	2583				hypothetical protein
IJPEGDKI_00087	CDS	618				hypothetical protein
IJPEGDKI_00088	CDS	1380				hypothetical protein
IJPEGDKI_00089	CDS	366				hypothetical protein
IJPEGDKI_00090	CDS	417				hypothetical protein
IJPEGDKI_00091	CDS	381			COG3039	IS5 family transposase ISMex40
IJPEGDKI_00092	CDS	1095				hypothetical protein
IJPEGDKI_00093	CDS	1434	proS	6.1.1.15	COG0442	Proline--tRNA ligase
IJPEGDKI_00094	CDS	996	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
IJPEGDKI_00095	CDS	714	pdg			Ultraviolet N-glycosylase/AP lyase
IJPEGDKI_00096	CDS	1167				hypothetical protein
IJPEGDKI_00097	CDS	651				hypothetical protein
IJPEGDKI_00098	CDS	1635		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
IJPEGDKI_00099	CDS	411				hypothetical protein
IJPEGDKI_00100	CDS	486	dhfrIII	1.5.1.3		Dihydrofolate reductase type 3
IJPEGDKI_00101	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
IJPEGDKI_00102	CDS	1275				hypothetical protein
IJPEGDKI_00103	CDS	354				hypothetical protein
IJPEGDKI_00104	CDS	432	IMPDH_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
IJPEGDKI_00105	CDS	822				hypothetical protein
IJPEGDKI_00106	CDS	1149	fsr_1			Fosmidomycin resistance protein
IJPEGDKI_00107	tRNA	77				tRNA-Arg(ccg)
IJPEGDKI_00108	CDS	1899	prsA_1	5.2.1.8		Foldase protein PrsA
IJPEGDKI_00109	CDS	675				hypothetical protein
IJPEGDKI_00110	CDS	231				hypothetical protein
IJPEGDKI_00111	CDS	1815	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
IJPEGDKI_00112	CDS	2760				hypothetical protein
IJPEGDKI_00113	CDS	216				hypothetical protein
IJPEGDKI_00114	CDS	435				hypothetical protein
IJPEGDKI_00115	CDS	2007	uvrB		COG0556	UvrABC system protein B
IJPEGDKI_00116	CDS	1251				hypothetical protein
IJPEGDKI_00117	CDS	507				hypothetical protein
IJPEGDKI_00118	CDS	327				hypothetical protein
IJPEGDKI_00119	CDS	1581				hypothetical protein
IJPEGDKI_00120	CDS	1074		3.4.11.-		Aminopeptidase 2
IJPEGDKI_00121	CDS	903	adhA	1.1.1.1	COG1064	putative alcohol dehydrogenase AdhA
IJPEGDKI_00122	CDS	1797	pnp_2	2.7.7.8		Polyribonucleotide nucleotidyltransferase
IJPEGDKI_00123	CDS	1236				hypothetical protein
IJPEGDKI_00124	CDS	546	IMPDH_2	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
IJPEGDKI_00125	CDS	1158	gerN_1		COG0475	Na(+)/H(+)-K(+) antiporter GerN
IJPEGDKI_00126	CDS	660				hypothetical protein
IJPEGDKI_00127	CDS	333				hypothetical protein
IJPEGDKI_00128	CDS	906	cwlS	3.4.19.11	COG0791	D-gamma-glutamyl-meso-diaminopimelic acid endopeptidase CwlS
IJPEGDKI_00129	CDS	669	cmk	2.7.4.25	COG0283	Cytidylate kinase
IJPEGDKI_00130	CDS	1032				IS701 family transposase ISMesi2
IJPEGDKI_00131	CDS	1278	aroA_1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
IJPEGDKI_00132	CDS	993	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
IJPEGDKI_00133	CDS	417	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
IJPEGDKI_00134	CDS	1785	rqkA	2.7.11.1	COG0515	DNA damage-responsive serine/threonine-protein kinase RqkA
IJPEGDKI_00135	CDS	2514	actP_1	7.2.2.9		Copper-transporting P-type ATPase
IJPEGDKI_00136	CDS	291	csoR		COG1937	Copper-sensing transcriptional repressor CsoR
IJPEGDKI_00137	CDS	204	copZ			Copper chaperone CopZ
IJPEGDKI_00138	CDS	579				hypothetical protein
IJPEGDKI_00139	CDS	2382	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
IJPEGDKI_00140	CDS	141				hypothetical protein
IJPEGDKI_00141	CDS	186				hypothetical protein
IJPEGDKI_00142	CDS	645				hypothetical protein
IJPEGDKI_00143	CDS	237				hypothetical protein
IJPEGDKI_00144	CDS	408				hypothetical protein
IJPEGDKI_00145	CDS	1479	ftsP		COG2132	Cell division protein FtsP
IJPEGDKI_00146	CDS	468				hypothetical protein
IJPEGDKI_00147	CDS	1098	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
IJPEGDKI_00148	CDS	666	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
IJPEGDKI_00149	CDS	618				hypothetical protein
IJPEGDKI_00150	CDS	990				hypothetical protein
IJPEGDKI_00151	CDS	708				hypothetical protein
IJPEGDKI_00152	CDS	882				hypothetical protein
IJPEGDKI_00153	CDS	258				hypothetical protein
IJPEGDKI_00154	CDS	1683	ycf3_1			Photosystem I assembly protein Ycf3
IJPEGDKI_00155	CDS	978	zapE			Cell division protein ZapE
IJPEGDKI_00156	CDS	1146	deoB	5.4.2.7	COG1015	Phosphopentomutase
IJPEGDKI_00157	CDS	147				hypothetical protein
IJPEGDKI_00158	CDS	306				hypothetical protein
IJPEGDKI_00159	CDS	972	gutB_1	1.1.1.-	COG1063	Sorbitol dehydrogenase
IJPEGDKI_00160	CDS	768	gdh	1.1.1.16		Galactitol 2-dehydrogenase
IJPEGDKI_00161	CDS	1017		1.1.1.407	COG1063	D-altritol 5-dehydrogenase
IJPEGDKI_00162	CDS	822	dasC_1		COG0395	Diacetylchitobiose uptake system permease protein DasC
IJPEGDKI_00163	CDS	918	ycjO		COG1175	Inner membrane ABC transporter permease protein YcjO
