locus_tag	ftype	length_bp	gene	EC_number	COG	product
JAOMGKEE_00001	CDS	1575	dnaA		COG0593	Chromosomal replication initiator protein DnaA
JAOMGKEE_00002	CDS	1185	dnaN		COG0592	Beta sliding clamp
JAOMGKEE_00003	CDS	1185	recF		COG1195	DNA replication and repair protein RecF
JAOMGKEE_00004	CDS	537				hypothetical protein
JAOMGKEE_00005	CDS	2055	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
JAOMGKEE_00006	CDS	915				hypothetical protein
JAOMGKEE_00007	CDS	582				hypothetical protein
JAOMGKEE_00008	CDS	444				hypothetical protein
JAOMGKEE_00009	CDS	1068			COG1940	Transcriptional regulator
JAOMGKEE_00010	CDS	264				hypothetical protein
JAOMGKEE_00011	CDS	249				hypothetical protein
JAOMGKEE_00012	CDS	2571	gyrA1	5.6.2.2		DNA gyrase subunit A
JAOMGKEE_00013	CDS	345				hypothetical protein
JAOMGKEE_00014	tRNA	77				tRNA-Ile(gat)
JAOMGKEE_00015	tRNA	74				tRNA-Ala(tgc)
JAOMGKEE_00016	CDS	1038				hypothetical protein
JAOMGKEE_00017	CDS	897				putative HTH-type transcriptional regulator
JAOMGKEE_00018	CDS	414				hypothetical protein
JAOMGKEE_00019	CDS	873				hypothetical protein
JAOMGKEE_00020	CDS	747				hypothetical protein
JAOMGKEE_00021	CDS	372	blaI		COG3682	Transcriptional regulator BlaI
JAOMGKEE_00022	CDS	996				hypothetical protein
JAOMGKEE_00023	CDS	171				hypothetical protein
JAOMGKEE_00024	CDS	102				hypothetical protein
JAOMGKEE_00025	CDS	531	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
JAOMGKEE_00026	CDS	1239				hypothetical protein
JAOMGKEE_00027	tRNA	74				tRNA-Ala(tgc)
JAOMGKEE_00028	tRNA	77				tRNA-Ile(gat)
JAOMGKEE_00029	tRNA	74				tRNA-Ala(tgc)
JAOMGKEE_00030	CDS	519				hypothetical protein
JAOMGKEE_00031	CDS	1692				hypothetical protein
JAOMGKEE_00032	CDS	1281				hypothetical protein
JAOMGKEE_00033	CDS	957	troA		COG0803	Periplasmic zinc-binding protein TroA
JAOMGKEE_00034	CDS	852	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
JAOMGKEE_00035	CDS	660	fecE		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
JAOMGKEE_00036	CDS	984				hypothetical protein
JAOMGKEE_00037	CDS	1026	rbsC_1		COG1172	Ribose import permease protein RbsC
JAOMGKEE_00038	CDS	762	frcA	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
JAOMGKEE_00039	CDS	813				hypothetical protein
JAOMGKEE_00040	CDS	573	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
JAOMGKEE_00041	CDS	660				hypothetical protein
JAOMGKEE_00042	CDS	999				hypothetical protein
JAOMGKEE_00043	CDS	957	fepG_1		COG4779	Ferric enterobactin transport system permease protein FepG
JAOMGKEE_00044	CDS	780	fpuD_1	7.2.2.-	COG1120	Petrobactin import ATP-binding protein FpuD
JAOMGKEE_00045	CDS	825				hypothetical protein
JAOMGKEE_00046	CDS	273	crgA			Cell division protein CrgA
JAOMGKEE_00047	CDS	1941	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
JAOMGKEE_00048	CDS	1410	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
JAOMGKEE_00049	CDS	1425	pbpA		COG0768	Penicillin-binding protein A
JAOMGKEE_00050	CDS	1326	rodA		COG0772	putative FtsW-like protein
JAOMGKEE_00051	CDS	1356	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
JAOMGKEE_00052	CDS	465	fhaB		COG1716	FHA domain-containing protein FhaB
JAOMGKEE_00053	CDS	897				hypothetical protein
JAOMGKEE_00054	tRNA	87				tRNA-Leu(cag)
JAOMGKEE_00055	CDS	723				hypothetical protein
JAOMGKEE_00056	CDS	222				hypothetical protein
JAOMGKEE_00057	CDS	474				hypothetical protein
JAOMGKEE_00058	CDS	1473	sad_1	1.2.1.16		Succinate-semialdehyde dehydrogenase
JAOMGKEE_00059	CDS	915				hypothetical protein
JAOMGKEE_00060	CDS	1371	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
JAOMGKEE_00061	CDS	747			COG0730	putative membrane transporter protein
JAOMGKEE_00062	CDS	294		2.8.1.-	COG0607	Sulfurtransferase
JAOMGKEE_00063	CDS	594	ygaP		COG0607	Inner membrane protein YgaP
JAOMGKEE_00064	CDS	258				hypothetical protein
JAOMGKEE_00065	CDS	858				hypothetical protein
JAOMGKEE_00066	CDS	843				hypothetical protein
JAOMGKEE_00067	CDS	714				hypothetical protein
JAOMGKEE_00068	CDS	1656				hypothetical protein
JAOMGKEE_00069	CDS	1122				hypothetical protein
JAOMGKEE_00070	CDS	450				hypothetical protein
JAOMGKEE_00071	CDS	1272	clcA_1		COG0038	H(+)/Cl(-) exchange transporter ClcA
JAOMGKEE_00072	CDS	693	ribM			Riboflavin/roseoflavin transporter RibM
JAOMGKEE_00073	CDS	1377				hypothetical protein
JAOMGKEE_00074	CDS	387				hypothetical protein
JAOMGKEE_00075	CDS	1581				hypothetical protein
JAOMGKEE_00076	CDS	1656	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
JAOMGKEE_00077	CDS	657	dpiA		COG4565	Transcriptional regulatory protein DpiA
JAOMGKEE_00078	CDS	915	hprA	1.1.1.29	COG1052	Glycerate dehydrogenase
JAOMGKEE_00079	CDS	432				hypothetical protein
