locus_tag	ftype	length_bp	gene	EC_number	COG	product
GFKMBLKP_00001	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
GFKMBLKP_00002	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
GFKMBLKP_00003	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
GFKMBLKP_00004	CDS	297				hypothetical protein
GFKMBLKP_00005	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
GFKMBLKP_00006	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
GFKMBLKP_00007	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
GFKMBLKP_00008	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
GFKMBLKP_00009	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
GFKMBLKP_00010	CDS	714				hypothetical protein
GFKMBLKP_00011	CDS	405				hypothetical protein
GFKMBLKP_00012	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
GFKMBLKP_00013	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
GFKMBLKP_00014	CDS	1113			COG3385	IS4 family transposase IS421
GFKMBLKP_00015	CDS	141				hypothetical protein
GFKMBLKP_00016	CDS	153	hokC_1			Toxic protein HokC
GFKMBLKP_00017	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
GFKMBLKP_00018	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
GFKMBLKP_00019	CDS	378			COG1662	IS1 family transposase IS1A
GFKMBLKP_00020	CDS	276			COG1662	IS1 family transposase IS1A
GFKMBLKP_00021	CDS	264	rpsT		COG0268	30S ribosomal protein S20
GFKMBLKP_00022	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
GFKMBLKP_00023	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
GFKMBLKP_00024	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
GFKMBLKP_00025	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
GFKMBLKP_00026	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
GFKMBLKP_00027	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
GFKMBLKP_00028	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
GFKMBLKP_00029	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
GFKMBLKP_00030	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
GFKMBLKP_00031	CDS	396				hypothetical protein
GFKMBLKP_00032	CDS	591	yrdA_1		COG0663	Protein YrdA
GFKMBLKP_00033	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
GFKMBLKP_00034	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
GFKMBLKP_00035	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
GFKMBLKP_00036	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
GFKMBLKP_00037	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
GFKMBLKP_00038	CDS	771	fixA_1		COG2086	Protein FixA
GFKMBLKP_00039	CDS	942	fixB_1		COG2025	Protein FixB
GFKMBLKP_00040	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
GFKMBLKP_00041	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
GFKMBLKP_00042	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
GFKMBLKP_00043	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
GFKMBLKP_00044	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
GFKMBLKP_00045	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
GFKMBLKP_00046	CDS	843	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
GFKMBLKP_00047	CDS	378	apaG		COG2967	Protein ApaG
GFKMBLKP_00048	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
GFKMBLKP_00049	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
GFKMBLKP_00050	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
GFKMBLKP_00051	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
GFKMBLKP_00052	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
GFKMBLKP_00053	CDS	651				hypothetical protein
GFKMBLKP_00054	CDS	159				hypothetical protein
GFKMBLKP_00055	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
GFKMBLKP_00056	CDS	2907	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
GFKMBLKP_00057	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
GFKMBLKP_00058	CDS	609	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
GFKMBLKP_00059	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
GFKMBLKP_00060	CDS	1701	araB	2.7.1.16	COG1069	Ribulokinase
GFKMBLKP_00061	CDS	879	araC			Arabinose operon regulatory protein
GFKMBLKP_00062	CDS	765	yabI		COG0586	Inner membrane protein YabI
GFKMBLKP_00063	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
GFKMBLKP_00064	CDS	1611				hypothetical protein
GFKMBLKP_00065	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
GFKMBLKP_00066	CDS	1656	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
GFKMBLKP_00067	CDS	132	sgrT			Putative inhibitor of glucose uptake transporter SgrT
GFKMBLKP_00068	CDS	1179	setA			Sugar efflux transporter A
GFKMBLKP_00069	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
GFKMBLKP_00070	CDS	1401	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
GFKMBLKP_00071	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
GFKMBLKP_00072	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
GFKMBLKP_00073	CDS	945	leuO			HTH-type transcriptional regulator LeuO
GFKMBLKP_00074	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
GFKMBLKP_00075	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
GFKMBLKP_00076	CDS	1005	cra		COG1609	Catabolite repressor/activator
GFKMBLKP_00077	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
GFKMBLKP_00078	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
GFKMBLKP_00079	CDS	366	ftsL		COG3116	Cell division protein FtsL
GFKMBLKP_00080	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
GFKMBLKP_00081	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
GFKMBLKP_00082	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
GFKMBLKP_00083	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
GFKMBLKP_00084	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
GFKMBLKP_00085	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
GFKMBLKP_00086	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
GFKMBLKP_00087	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
GFKMBLKP_00088	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
GFKMBLKP_00089	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
GFKMBLKP_00090	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
GFKMBLKP_00091	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
GFKMBLKP_00092	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
GFKMBLKP_00093	CDS	588	secM			Secretion monitor
GFKMBLKP_00094	CDS	2706	secA		COG0653	Protein translocase subunit SecA
GFKMBLKP_00095	CDS	390	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
GFKMBLKP_00096	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
GFKMBLKP_00097	CDS	744	zapD		COG4582	Cell division protein ZapD
GFKMBLKP_00098	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
GFKMBLKP_00099	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
GFKMBLKP_00100	CDS	1203	epsF		COG1459	Type II secretion system protein F
GFKMBLKP_00101	CDS	1386	epsE		COG2804	Type II secretion system protein E
GFKMBLKP_00102	CDS	441				hypothetical protein
GFKMBLKP_00103	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
GFKMBLKP_00104	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
GFKMBLKP_00105	CDS	855	ampE		COG3725	Protein AmpE
GFKMBLKP_00106	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
GFKMBLKP_00107	CDS	765	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
GFKMBLKP_00108	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
GFKMBLKP_00109	CDS	1893	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
GFKMBLKP_00110	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
GFKMBLKP_00111	CDS	1854				hypothetical protein
GFKMBLKP_00112	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
GFKMBLKP_00113	CDS	363				hypothetical protein
GFKMBLKP_00114	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
GFKMBLKP_00115	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
GFKMBLKP_00116	CDS	309				hypothetical protein
GFKMBLKP_00117	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
GFKMBLKP_00118	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
GFKMBLKP_00119	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
GFKMBLKP_00120	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
GFKMBLKP_00121	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
GFKMBLKP_00122	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
GFKMBLKP_00123	CDS	441				hypothetical protein
GFKMBLKP_00124	CDS	1230				hypothetical protein
GFKMBLKP_00125	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
GFKMBLKP_00126	CDS	903				ISNCY family transposase ISSen7
GFKMBLKP_00127	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
GFKMBLKP_00128	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
GFKMBLKP_00129	CDS	1239	yadC			putative fimbrial-like protein YadC
GFKMBLKP_00130	CDS	597	yadK			putative fimbrial-like protein YadK
GFKMBLKP_00131	CDS	606	yadL			putative fimbrial-like protein YadL
GFKMBLKP_00132	CDS	570	yadM			putative fimbrial-like protein YadM
GFKMBLKP_00133	CDS	2598	htrE		COG3188	Outer membrane usher protein HtrE
GFKMBLKP_00134	CDS	741	yadV			putative fimbrial chaperone YadV
GFKMBLKP_00135	CDS	585	yadN			putative fimbrial-like protein YadN
GFKMBLKP_00136	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
GFKMBLKP_00137	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
GFKMBLKP_00138	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
GFKMBLKP_00139	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
GFKMBLKP_00140	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
GFKMBLKP_00141	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
GFKMBLKP_00142	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
GFKMBLKP_00143	CDS	2535	mrcB		COG0744	Penicillin-binding protein 1B
GFKMBLKP_00144	CDS	2244	fhuA		COG1629	Ferrichrome outer membrane transporter/phage receptor
GFKMBLKP_00145	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
GFKMBLKP_00146	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
GFKMBLKP_00147	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
GFKMBLKP_00148	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
GFKMBLKP_00149	CDS	1422	clcA			H(+)/Cl(-) exchange transporter ClcA
GFKMBLKP_00150	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
GFKMBLKP_00151	CDS	624				hypothetical protein
GFKMBLKP_00152	CDS	801	btuF		COG0614	Vitamin B12-binding protein
GFKMBLKP_00153	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
GFKMBLKP_00154	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
GFKMBLKP_00155	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
GFKMBLKP_00156	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
GFKMBLKP_00157	CDS	387				hypothetical protein
GFKMBLKP_00158	CDS	813	lpxG	3.6.1.-	COG1408	UDP-2,3-diacylglucosamine pyrophosphatase LpxG
GFKMBLKP_00159	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
GFKMBLKP_00160	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
GFKMBLKP_00161	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
GFKMBLKP_00162	CDS	726	rpsB		COG0052	30S ribosomal protein S2
GFKMBLKP_00163	CDS	852	tsf		COG0264	Elongation factor Ts
GFKMBLKP_00164	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
GFKMBLKP_00165	CDS	558	frr		COG0233	Ribosome-recycling factor
GFKMBLKP_00166	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
GFKMBLKP_00167	CDS	759	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
GFKMBLKP_00168	CDS	153				hypothetical protein
GFKMBLKP_00169	CDS	750	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
GFKMBLKP_00170	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
GFKMBLKP_00171	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
GFKMBLKP_00172	CDS	486	skp		COG2825	Chaperone protein Skp
GFKMBLKP_00173	CDS	1026	lpxD_1	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
GFKMBLKP_00174	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
GFKMBLKP_00175	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
GFKMBLKP_00176	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
GFKMBLKP_00177	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
GFKMBLKP_00178	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
GFKMBLKP_00179	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
GFKMBLKP_00180	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
GFKMBLKP_00181	CDS	390				hypothetical protein
GFKMBLKP_00182	CDS	1299	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
GFKMBLKP_00183	CDS	261	rof		COG4568	Protein rof
GFKMBLKP_00184	CDS	201				hypothetical protein
GFKMBLKP_00185	CDS	546	yaeQ		COG4681	putative protein YaeQ
GFKMBLKP_00186	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
GFKMBLKP_00187	CDS	711	nlpE		COG3015	Lipoprotein NlpE
GFKMBLKP_00188	CDS	825				hypothetical protein
GFKMBLKP_00189	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
GFKMBLKP_00190	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
GFKMBLKP_00191	CDS	405	rcsF			Outer membrane lipoprotein RcsF
GFKMBLKP_00192	CDS	816	metQ		COG1464	D-methionine-binding lipoprotein MetQ
GFKMBLKP_00193	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
GFKMBLKP_00194	CDS	1032	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
GFKMBLKP_00195	CDS	576	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
GFKMBLKP_00196	rRNA	1538				16S ribosomal RNA
GFKMBLKP_00197	tRNA	77				tRNA-Ile(gat)
GFKMBLKP_00198	tRNA	76				tRNA-Ala(tgc)
GFKMBLKP_00199	rRNA	2901				23S ribosomal RNA
GFKMBLKP_00200	rRNA	111				5S ribosomal RNA
GFKMBLKP_00201	tRNA	77				tRNA-Asp(gtc)
GFKMBLKP_00202	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
GFKMBLKP_00203	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
GFKMBLKP_00204	CDS	780				hypothetical protein
GFKMBLKP_00205	CDS	624	ycgJ	2.1.1.-		putative methyltransferase YcgJ
GFKMBLKP_00206	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
GFKMBLKP_00207	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
GFKMBLKP_00208	CDS	723				hypothetical protein
GFKMBLKP_00209	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
GFKMBLKP_00210	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
GFKMBLKP_00211	tRNA	77				tRNA-Asp(gtc)
GFKMBLKP_00212	CDS	786				hypothetical protein
GFKMBLKP_00213	CDS	480				hypothetical protein
GFKMBLKP_00214	CDS	339				hypothetical protein
GFKMBLKP_00215	CDS	771	yafV	3.5.1.3		Omega-amidase YafV
GFKMBLKP_00216	CDS	474	ivy			Inhibitor of vertebrate lysozyme
GFKMBLKP_00217	CDS	2445	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
GFKMBLKP_00218	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
GFKMBLKP_00219	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
GFKMBLKP_00220	CDS	741				hypothetical protein
GFKMBLKP_00221	CDS	279	yafQ	3.1.-.-	COG3041	mRNA interferase toxin YafQ
GFKMBLKP_00222	CDS	261	dinJ		COG3077	Antitoxin DinJ
GFKMBLKP_00223	CDS	627				hypothetical protein
GFKMBLKP_00224	CDS	498	rayT		COG1943	REP-associated tyrosine transposase
GFKMBLKP_00225	CDS	1740	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
GFKMBLKP_00226	CDS	636	lafU		COG1360	Chemotaxis protein LafU
GFKMBLKP_00227	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
GFKMBLKP_00228	CDS	294	yafN		COG2161	Antitoxin YafN
GFKMBLKP_00229	CDS	399	yafO	3.1.-.-		mRNA interferase toxin YafO
GFKMBLKP_00230	CDS	375	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
GFKMBLKP_00231	CDS	267				hypothetical protein
GFKMBLKP_00232	CDS	501	prfB_1			Peptide chain release factor 2
GFKMBLKP_00233	CDS	1458	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
GFKMBLKP_00234	CDS	459	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
GFKMBLKP_00235	CDS	1245				hypothetical protein
GFKMBLKP_00236	CDS	402	crl			Sigma factor-binding protein Crl
GFKMBLKP_00237	CDS	1056	phoE		COG3203	Outer membrane porin PhoE
GFKMBLKP_00238	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
GFKMBLKP_00239	CDS	1254	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
GFKMBLKP_00240	tRNA	76				tRNA-Thr(cgt)
GFKMBLKP_00241	CDS	105				hypothetical protein
GFKMBLKP_00242	CDS	342	ykfI			Toxin YkfI
GFKMBLKP_00243	CDS	318	yafW			Antitoxin YafW
GFKMBLKP_00244	CDS	222				hypothetical protein
GFKMBLKP_00245	CDS	477				hypothetical protein
GFKMBLKP_00246	CDS	459	klcA_1			Antirestriction protein KlcA
GFKMBLKP_00247	CDS	240				hypothetical protein
GFKMBLKP_00248	CDS	468				hypothetical protein
GFKMBLKP_00249	CDS	858				hypothetical protein
GFKMBLKP_00250	CDS	822				hypothetical protein
GFKMBLKP_00251	CDS	864	era_1			GTPase Era
GFKMBLKP_00252	CDS	894	perR			HTH-type transcriptional regulator PerR
GFKMBLKP_00253	CDS	369				hypothetical protein
GFKMBLKP_00254	CDS	1152			COG2826	IS30 family transposase IS30
GFKMBLKP_00255	CDS	240				hypothetical protein
GFKMBLKP_00256	CDS	1146	ltrA		COG3344	Group II intron-encoded protein LtrA
GFKMBLKP_00257	CDS	981			COG3039	IS5 family transposase IS5
GFKMBLKP_00258	CDS	90				hypothetical protein
GFKMBLKP_00259	CDS	384	mhpD	4.2.1.80		2-keto-4-pentenoate hydratase
GFKMBLKP_00260	CDS	951	mhpF	1.2.1.10	COG4569	Acetaldehyde dehydrogenase
GFKMBLKP_00261	CDS	1014	mhpE	4.1.3.39	COG0119	4-hydroxy-2-oxovalerate aldolase
GFKMBLKP_00262	CDS	1212	mhpT			3-(3-hydroxy-phenyl)propionate transporter
