locus_tag	ftype	length_bp	gene	EC_number	COG	product
DPEJODDP_00001	CDS	1863	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
DPEJODDP_00002	CDS	651	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
DPEJODDP_00003	CDS	801	parA			Chromosome partitioning protein ParA
DPEJODDP_00004	CDS	969	parB			Chromosome-partitioning protein ParB
DPEJODDP_00005	CDS	1005				hypothetical protein
DPEJODDP_00006	CDS	603				hypothetical protein
DPEJODDP_00007	CDS	2583	leuS	6.1.1.4		Leucine--tRNA ligase
DPEJODDP_00008	CDS	453				hypothetical protein
DPEJODDP_00009	CDS	1191				hypothetical protein
DPEJODDP_00010	CDS	456				hypothetical protein
DPEJODDP_00011	CDS	843	PROSC			Pyridoxal phosphate homeostasis protein
DPEJODDP_00012	CDS	522				hypothetical protein
DPEJODDP_00013	CDS	687	walR		COG0745	Transcriptional regulatory protein WalR
DPEJODDP_00014	CDS	810	xthA_1	3.1.11.2	COG0708	Exodeoxyribonuclease III
DPEJODDP_00015	CDS	684	lolA			Outer-membrane lipoprotein carrier protein
DPEJODDP_00016	CDS	2583				hypothetical protein
DPEJODDP_00017	CDS	1314	amtB			Ammonia channel
DPEJODDP_00018	CDS	1242	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
DPEJODDP_00019	CDS	378				hypothetical protein
DPEJODDP_00020	CDS	213				hypothetical protein
DPEJODDP_00021	CDS	672	lon_1	3.4.21.53		Lon protease
DPEJODDP_00022	CDS	915	cnoX		COG3118	Chaperedoxin
DPEJODDP_00023	CDS	564	proX		COG3760	Prolyl-tRNA editing protein ProX
DPEJODDP_00024	CDS	747				hypothetical protein
DPEJODDP_00025	tRNA	75				tRNA-Gly(gcc)
DPEJODDP_00026	CDS	780				hypothetical protein
DPEJODDP_00027	CDS	3069				hypothetical protein
DPEJODDP_00028	CDS	1140	sbcD			Nuclease SbcCD subunit D
DPEJODDP_00029	CDS	1047	kamA	5.4.3.2		L-lysine 2,3-aminomutase
DPEJODDP_00030	CDS	1032	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
DPEJODDP_00031	CDS	573	efp		COG0231	Elongation factor P
DPEJODDP_00032	CDS	735				hypothetical protein
DPEJODDP_00033	CDS	402				hypothetical protein
DPEJODDP_00034	CDS	429	ohrB		COG1764	Organic hydroperoxide resistance protein OhrB
DPEJODDP_00035	CDS	453	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
DPEJODDP_00036	CDS	1482	carB_1			Carbamoyl-phosphate synthase large chain
DPEJODDP_00037	CDS	1428	phrA	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
DPEJODDP_00038	CDS	504				hypothetical protein
DPEJODDP_00039	CDS	759			COG0217	putative transcriptional regulatory protein
DPEJODDP_00040	CDS	750	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
