locus_tag	ftype	length_bp	gene	EC_number	COG	product
OBCGEDNA_00001	CDS	801	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
OBCGEDNA_00002	CDS	828	noc			Nucleoid occlusion protein
OBCGEDNA_00003	CDS	1014	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
OBCGEDNA_00004	CDS	993	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
OBCGEDNA_00005	CDS	3006	dinG	3.1.-.-		3'-5' exonuclease DinG
OBCGEDNA_00006	CDS	957				hypothetical protein
OBCGEDNA_00007	CDS	993				hypothetical protein
OBCGEDNA_00008	CDS	3690				hypothetical protein
OBCGEDNA_00009	tRNA	75				tRNA-Gly(ccc)
OBCGEDNA_00010	CDS	1284		3.4.11.-		Aminopeptidase 2
OBCGEDNA_00011	tRNA	76				tRNA-Lys(ttt)
OBCGEDNA_00012	CDS	1047	ghrB	1.1.1.81		Glyoxylate/hydroxypyruvate reductase B
OBCGEDNA_00013	CDS	630	dgoA	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
OBCGEDNA_00014	CDS	459				hypothetical protein
OBCGEDNA_00015	CDS	303	gatB_1	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
OBCGEDNA_00016	CDS	1269	gatC_1		COG3775	PTS system galactitol-specific EIIC component
OBCGEDNA_00017	CDS	1188	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
OBCGEDNA_00018	CDS	909	php		COG1735	Phosphotriesterase homology protein
OBCGEDNA_00019	CDS	762	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
OBCGEDNA_00020	CDS	465				hypothetical protein
OBCGEDNA_00021	CDS	1839	typA		COG1217	GTP-binding protein TypA/BipA
OBCGEDNA_00022	CDS	837				hypothetical protein
OBCGEDNA_00023	tRNA	91				tRNA-Ser(gga)
OBCGEDNA_00024	tRNA	90				tRNA-Ser(cga)
OBCGEDNA_00025	CDS	1131				hypothetical protein
OBCGEDNA_00026	CDS	294	rpsF		COG0360	30S ribosomal protein S6
OBCGEDNA_00027	CDS	471				Single-stranded DNA-binding protein
OBCGEDNA_00028	CDS	273	rpsR1		COG0238	30S ribosomal protein S18 1
OBCGEDNA_00029	CDS	876				hypothetical protein
OBCGEDNA_00030	CDS	522	rplI			50S ribosomal protein L9
OBCGEDNA_00031	CDS	1395	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
OBCGEDNA_00032	CDS	1281	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
OBCGEDNA_00033	CDS	945				DegV domain-containing protein
OBCGEDNA_00034	CDS	1296	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
OBCGEDNA_00035	CDS	720				hypothetical protein
OBCGEDNA_00036	CDS	1026				hypothetical protein
OBCGEDNA_00037	CDS	870	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
OBCGEDNA_00038	CDS	462	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
OBCGEDNA_00039	CDS	864				hypothetical protein
OBCGEDNA_00040	CDS	1551	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
OBCGEDNA_00041	CDS	1074	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
OBCGEDNA_00042	CDS	639	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
OBCGEDNA_00043	CDS	1521				hypothetical protein
OBCGEDNA_00044	CDS	2232				hypothetical protein
