locus_tag	ftype	length_bp	gene	EC_number	COG	product
EEOBFEBO_00001	CDS	1455	dnaA		COG0593	Chromosomal replication initiator protein DnaA
EEOBFEBO_00002	CDS	1467				hypothetical protein
EEOBFEBO_00003	CDS	864				hypothetical protein
EEOBFEBO_00004	CDS	1032	gutB_1	1.1.1.-	COG1063	Sorbitol dehydrogenase
EEOBFEBO_00005	CDS	1014				hypothetical protein
EEOBFEBO_00006	CDS	792	gno	1.1.1.-		Gluconate 5-dehydrogenase
EEOBFEBO_00007	CDS	156				hypothetical protein
EEOBFEBO_00008	CDS	1308	dgoT			D-galactonate transporter
EEOBFEBO_00009	CDS	315				hypothetical protein
EEOBFEBO_00010	CDS	828				hypothetical protein
EEOBFEBO_00011	CDS	249				hypothetical protein
EEOBFEBO_00012	CDS	774	ruvA	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvA
EEOBFEBO_00013	CDS	525				hypothetical protein
EEOBFEBO_00014	CDS	1134	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
EEOBFEBO_00015	CDS	210				hypothetical protein
EEOBFEBO_00016	CDS	885	rlpA_1	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
EEOBFEBO_00017	CDS	801				hypothetical protein
EEOBFEBO_00018	CDS	1605				hypothetical protein
EEOBFEBO_00019	CDS	135				hypothetical protein
EEOBFEBO_00020	CDS	1341				hypothetical protein
EEOBFEBO_00021	CDS	888				hypothetical protein
EEOBFEBO_00022	CDS	723				hypothetical protein
EEOBFEBO_00023	CDS	447	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
EEOBFEBO_00024	CDS	480	greA		COG0782	Transcription elongation factor GreA
EEOBFEBO_00025	CDS	726				hypothetical protein
EEOBFEBO_00026	CDS	1365				hypothetical protein
EEOBFEBO_00027	CDS	387				hypothetical protein
EEOBFEBO_00028	CDS	204				hypothetical protein
EEOBFEBO_00029	CDS	198				hypothetical protein
EEOBFEBO_00030	CDS	1092	hcf136_1			Ycf48-like protein
EEOBFEBO_00031	CDS	1590	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
EEOBFEBO_00032	CDS	924	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
EEOBFEBO_00033	CDS	705	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
EEOBFEBO_00034	CDS	561	maf	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
EEOBFEBO_00035	CDS	1173	cpg2	3.4.17.11		Carboxypeptidase G2
EEOBFEBO_00036	CDS	939	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
EEOBFEBO_00037	CDS	468	sulD		COG0801	Bifunctional folate synthesis protein
EEOBFEBO_00038	CDS	324				hypothetical protein
EEOBFEBO_00039	CDS	747	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
EEOBFEBO_00040	CDS	750	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
