locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNOGFOIN_00001	CDS	1386	dnaA		COG0593	Chromosomal replication initiator protein DnaA
KNOGFOIN_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
KNOGFOIN_00003	CDS	1095	recF		COG1195	DNA replication and repair protein RecF
KNOGFOIN_00004	CDS	2418	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
KNOGFOIN_00005	CDS	1290				hypothetical protein
KNOGFOIN_00006	CDS	90				hypothetical protein
KNOGFOIN_00007	CDS	600				hypothetical protein
KNOGFOIN_00008	CDS	750	tolQ_1			Tol-Pal system protein TolQ
KNOGFOIN_00009	CDS	414	exbD_1		COG0848	Biopolymer transport protein ExbD
KNOGFOIN_00010	CDS	408	exbD_2		COG0848	Biopolymer transport protein ExbD
KNOGFOIN_00011	CDS	630	sfp	2.7.8.7	COG2091	4'-phosphopantetheinyl transferase Sfp
KNOGFOIN_00012	CDS	429				hypothetical protein
KNOGFOIN_00013	CDS	1158				hypothetical protein
KNOGFOIN_00014	CDS	822				hypothetical protein
KNOGFOIN_00015	CDS	1500				hypothetical protein
KNOGFOIN_00016	CDS	891	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
KNOGFOIN_00017	CDS	387				hypothetical protein
KNOGFOIN_00018	CDS	2031	tolB_1			Tol-Pal system protein TolB
KNOGFOIN_00019	CDS	1824		3.2.1.28	COG3387	Trehalase
KNOGFOIN_00020	CDS	1818	zwf2	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase 2
KNOGFOIN_00021	CDS	141				hypothetical protein
KNOGFOIN_00022	CDS	1542	xylB_1	2.7.1.17	COG1070	Xylulose kinase
KNOGFOIN_00023	CDS	1332	fucP_1		COG0738	L-fucose-proton symporter
KNOGFOIN_00024	CDS	1014	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
KNOGFOIN_00025	CDS	1785				hypothetical protein
KNOGFOIN_00026	CDS	660				hypothetical protein
KNOGFOIN_00027	CDS	786				hypothetical protein
KNOGFOIN_00028	CDS	1044				hypothetical protein
KNOGFOIN_00029	CDS	1107				hypothetical protein
KNOGFOIN_00030	CDS	156				hypothetical protein
KNOGFOIN_00031	CDS	162				hypothetical protein
KNOGFOIN_00032	CDS	363				hypothetical protein
KNOGFOIN_00033	CDS	468				hypothetical protein
KNOGFOIN_00034	CDS	288				hypothetical protein
KNOGFOIN_00035	CDS	1065	tqsA		COG0628	AI-2 transport protein TqsA
KNOGFOIN_00036	CDS	810	uppP	3.6.1.27		Undecaprenyl-diphosphatase
KNOGFOIN_00037	CDS	1125	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
KNOGFOIN_00038	CDS	1518				hypothetical protein
KNOGFOIN_00039	CDS	1215	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
KNOGFOIN_00040	rRNA	1541				16S ribosomal RNA
KNOGFOIN_00041	tRNA	77				tRNA-Ile(gat)
KNOGFOIN_00042	tRNA	76				tRNA-Ala(tgc)
KNOGFOIN_00043	rRNA	2877				23S ribosomal RNA
KNOGFOIN_00044	rRNA	79				5S ribosomal RNA (partial)
KNOGFOIN_00045	CDS	222				hypothetical protein
KNOGFOIN_00046	CDS	681				hypothetical protein
KNOGFOIN_00047	CDS	390				hypothetical protein
KNOGFOIN_00048	rRNA	1541				16S ribosomal RNA
KNOGFOIN_00049	tRNA	77				tRNA-Ile(gat)
KNOGFOIN_00050	tRNA	76				tRNA-Ala(tgc)
KNOGFOIN_00051	rRNA	2877				23S ribosomal RNA
KNOGFOIN_00052	rRNA	79				5S ribosomal RNA (partial)
KNOGFOIN_00053	CDS	1293				hypothetical protein
KNOGFOIN_00054	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
KNOGFOIN_00055	CDS	771	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
KNOGFOIN_00056	CDS	1248	ampG		COG0477	Anhydromuropeptide permease
KNOGFOIN_00057	CDS	1185	pgl_1	3.1.1.31		6-phosphogluconolactonase
KNOGFOIN_00058	CDS	729		1.1.99.3		Gluconate 2-dehydrogenase subunit 3
KNOGFOIN_00059	CDS	1785		1.1.99.3		Gluconate 2-dehydrogenase flavoprotein
KNOGFOIN_00060	CDS	1323		1.1.99.3		Gluconate 2-dehydrogenase cytochrome c subunit
KNOGFOIN_00061	CDS	855				hypothetical protein
KNOGFOIN_00062	CDS	804				hypothetical protein
KNOGFOIN_00063	CDS	1461	proP_1			Proline/betaine transporter
KNOGFOIN_00064	CDS	651	eda		COG0800	KHG/KDPG aldolase
KNOGFOIN_00065	CDS	1818	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
KNOGFOIN_00066	CDS	717	pgl_2	3.1.1.31		6-phosphogluconolactonase
KNOGFOIN_00067	CDS	1473	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
KNOGFOIN_00068	CDS	762	nagR		COG2188	HTH-type transcriptional repressor NagR
KNOGFOIN_00069	CDS	360				hypothetical protein
KNOGFOIN_00070	CDS	1188				hypothetical protein
KNOGFOIN_00071	CDS	1371	hutI	3.5.2.7		Imidazolonepropionase
KNOGFOIN_00072	CDS	567				hypothetical protein
KNOGFOIN_00073	CDS	1368	glmU			Bifunctional protein GlmU
KNOGFOIN_00074	CDS	1161	mro	5.1.3.3	COG2017	Aldose 1-epimerase
KNOGFOIN_00075	CDS	1173				hypothetical protein
KNOGFOIN_00076	CDS	282				hypothetical protein
