locus_tag	ftype	length_bp	gene	EC_number	COG	product
EPHAPNAE_00001	CDS	1332	dnaA		COG0593	Chromosomal replication initiator protein DnaA
EPHAPNAE_00002	CDS	1101	dnaN			Beta sliding clamp
EPHAPNAE_00003	CDS	207				hypothetical protein
EPHAPNAE_00004	CDS	1110	recF_1		COG1195	DNA replication and repair protein RecF
EPHAPNAE_00005	CDS	315				hypothetical protein
EPHAPNAE_00006	CDS	1926	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
EPHAPNAE_00007	CDS	777	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
EPHAPNAE_00008	CDS	870	spo0J		COG1475	Stage 0 sporulation protein J
EPHAPNAE_00009	CDS	510				hypothetical protein
EPHAPNAE_00010	CDS	741	cpoB_1			Cell division coordinator CpoB
EPHAPNAE_00011	CDS	1272	serS	6.1.1.11	COG0172	Serine--tRNA ligase
EPHAPNAE_00012	tRNA	91				tRNA-Ser(tga)
EPHAPNAE_00013	tRNA	94				tRNA-Ser(gct)
EPHAPNAE_00014	CDS	1401	mdtL			Multidrug resistance protein MdtL
EPHAPNAE_00015	CDS	915				hypothetical protein
EPHAPNAE_00016	CDS	570				Surface layer protein
EPHAPNAE_00017	CDS	534				hypothetical protein
EPHAPNAE_00018	CDS	1710				hypothetical protein
EPHAPNAE_00019	CDS	1272		3.4.19.11		Gamma-D-glutamyl-L-diamino acid endopeptidase 1
EPHAPNAE_00020	CDS	324				hypothetical protein
EPHAPNAE_00021	CDS	279				hypothetical protein
EPHAPNAE_00022	CDS	579	porC_1	1.2.7.1	COG1014	Pyruvate synthase subunit PorC
EPHAPNAE_00023	CDS	306	porD_1		COG1144	Pyruvate synthase subunit PorD
EPHAPNAE_00024	CDS	1185	porA_1	1.2.7.1	COG0674	Pyruvate synthase subunit PorA
EPHAPNAE_00025	CDS	936	porB_1	1.2.7.1	COG1013	Pyruvate synthase subunit PorB
EPHAPNAE_00026	CDS	840				hypothetical protein
EPHAPNAE_00027	CDS	720				hypothetical protein
EPHAPNAE_00028	CDS	264				hypothetical protein
EPHAPNAE_00029	CDS	1221				hypothetical protein
EPHAPNAE_00030	CDS	990	cotS_1			Spore coat protein S
EPHAPNAE_00031	CDS	1671	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
EPHAPNAE_00032	CDS	876	yabG_1	3.4.-.-		Sporulation-specific protease YabG
EPHAPNAE_00033	CDS	264	veg		COG4466	Protein Veg
EPHAPNAE_00034	CDS	1569				hypothetical protein
EPHAPNAE_00035	CDS	837	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
EPHAPNAE_00036	CDS	693	rspR_1		COG1802	HTH-type transcriptional repressor RspR
EPHAPNAE_00037	CDS	207	copA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
EPHAPNAE_00038	CDS	513				hypothetical protein
EPHAPNAE_00039	CDS	1623	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
EPHAPNAE_00040	CDS	729				hypothetical protein
EPHAPNAE_00041	CDS	807				hypothetical protein
EPHAPNAE_00042	CDS	1593				hypothetical protein
EPHAPNAE_00043	CDS	1146	yhaO		COG0420	putative metallophosphoesterase YhaO
EPHAPNAE_00044	CDS	2652				hypothetical protein
EPHAPNAE_00045	CDS	1023				hypothetical protein
EPHAPNAE_00046	CDS	390	ugtP_1	2.4.1.315		Processive diacylglycerol beta-glucosyltransferase
EPHAPNAE_00047	CDS	636	ugtP_2	2.4.1.315	COG0707	Processive diacylglycerol beta-glucosyltransferase
EPHAPNAE_00048	CDS	702	sleB_1		COG3409	Spore cortex-lytic enzyme
EPHAPNAE_00049	CDS	1395	ypeB			Sporulation protein YpeB
EPHAPNAE_00050	CDS	1089				hypothetical protein
EPHAPNAE_00051	CDS	1044				hypothetical protein
EPHAPNAE_00052	CDS	978				hypothetical protein
EPHAPNAE_00053	tRNA	77				tRNA-Arg(acg)
EPHAPNAE_00054	CDS	1782				hypothetical protein
EPHAPNAE_00055	CDS	249				hypothetical protein
EPHAPNAE_00056	CDS	1074				hypothetical protein
EPHAPNAE_00057	CDS	3006				hypothetical protein
EPHAPNAE_00058	CDS	831				hypothetical protein
EPHAPNAE_00059	CDS	840	pomA		COG1291	Chemotaxis protein PomA
EPHAPNAE_00060	CDS	801	motB		COG1360	Motility protein B
EPHAPNAE_00061	CDS	957				hypothetical protein
EPHAPNAE_00062	CDS	909	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
EPHAPNAE_00063	CDS	1071				Sodium-lithium/proton antiporter
EPHAPNAE_00064	CDS	1320	rnfC	7.1.1.-	COG4656	Proton-translocating ferredoxin:NAD(+) oxidoreductase complex subunit C
EPHAPNAE_00065	CDS	966	rnfD	7.2.1.2	COG4658	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit D
EPHAPNAE_00066	CDS	594	rnfG	7.2.1.2	COG4659	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit G
EPHAPNAE_00067	CDS	657	rnfE	7.2.1.2	COG4660	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit E
EPHAPNAE_00068	CDS	588	rnfA	7.2.1.2	COG4657	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit A
EPHAPNAE_00069	CDS	804	rnfB	7.2.1.2	COG2878	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit B
EPHAPNAE_00070	CDS	237				hypothetical protein
EPHAPNAE_00071	CDS	510	aroK_1	2.7.1.71	COG0703	Shikimate kinase 1
EPHAPNAE_00072	CDS	168				hypothetical protein
EPHAPNAE_00073	CDS	480				hypothetical protein
EPHAPNAE_00074	CDS	426				hypothetical protein
EPHAPNAE_00075	CDS	804	glpR		COG1349	Glycerol-3-phosphate regulon repressor
EPHAPNAE_00076	CDS	1485	glpK	2.7.1.30	COG0554	Glycerol kinase
EPHAPNAE_00077	CDS	837	aptA_1	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
