locus_tag	ftype	length_bp	gene	EC_number	COG	product
BALBGJOJ_00001	CDS	1350	dnaA		COG0593	Chromosomal replication initiator protein DnaA
BALBGJOJ_00002	CDS	183	fdx		COG1141	Ferredoxin
BALBGJOJ_00003	CDS	1878				hypothetical protein
BALBGJOJ_00004	CDS	1101	tmpC		COG1744	Membrane lipoprotein TmpC
BALBGJOJ_00005	CDS	1590	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
BALBGJOJ_00006	CDS	1050				hypothetical protein
BALBGJOJ_00007	CDS	960				hypothetical protein
BALBGJOJ_00008	CDS	399				hypothetical protein
BALBGJOJ_00009	CDS	276	hupA		COG0776	DNA-binding protein HU 1
BALBGJOJ_00010	CDS	1263				hypothetical protein
BALBGJOJ_00011	CDS	2169				hypothetical protein
BALBGJOJ_00012	CDS	639				hypothetical protein
BALBGJOJ_00013	CDS	957				hypothetical protein
BALBGJOJ_00014	CDS	951				IS6 family transposase ISCbo1
BALBGJOJ_00015	CDS	1953				hypothetical protein
BALBGJOJ_00016	CDS	951				IS6 family transposase ISCbo1
BALBGJOJ_00017	CDS	411				hypothetical protein
BALBGJOJ_00018	CDS	1704	norR			Anaerobic nitric oxide reductase transcription regulator NorR
BALBGJOJ_00019	CDS	1092				hypothetical protein
BALBGJOJ_00020	CDS	309				hypothetical protein
BALBGJOJ_00021	CDS	789				IS3 family transposase ISRso11
BALBGJOJ_00022	CDS	618				hypothetical protein
BALBGJOJ_00023	CDS	2679				hypothetical protein
BALBGJOJ_00024	CDS	1638				hypothetical protein
BALBGJOJ_00025	tRNA	77				tRNA-Ala(ggc)
BALBGJOJ_00026	CDS	951				IS6 family transposase ISCbo1
BALBGJOJ_00027	CDS	270	groS			10 kDa chaperonin
BALBGJOJ_00028	CDS	1617	groL			60 kDa chaperonin
BALBGJOJ_00029	CDS	528	folA	1.5.1.3	COG0262	Dihydrofolate reductase
BALBGJOJ_00030	CDS	2058	fusA_1		COG0480	Elongation factor G
BALBGJOJ_00031	CDS	942				hypothetical protein
BALBGJOJ_00032	CDS	2757				hypothetical protein
BALBGJOJ_00033	CDS	657				hypothetical protein
BALBGJOJ_00034	CDS	2313				hypothetical protein
BALBGJOJ_00035	CDS	204	swrD		COG1582	Swarming motility protein SwrD
BALBGJOJ_00036	CDS	789	pomA		COG1291	Chemotaxis protein PomA
BALBGJOJ_00037	CDS	873				hypothetical protein
BALBGJOJ_00038	CDS	522				hypothetical protein
BALBGJOJ_00039	CDS	1002	fliM		COG1868	Flagellar motor switch protein FliM
BALBGJOJ_00040	CDS	1110				hypothetical protein
BALBGJOJ_00041	CDS	1317	bglA_1	3.2.1.21		Beta-glucosidase A
BALBGJOJ_00042	CDS	498				hypothetical protein
BALBGJOJ_00043	CDS	399				hypothetical protein
BALBGJOJ_00044	CDS	1197	hutI	3.5.2.7		Imidazolonepropionase
BALBGJOJ_00045	CDS	627		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
BALBGJOJ_00046	CDS	2814	uvrA		COG0178	UvrABC system protein A
BALBGJOJ_00047	CDS	351				hypothetical protein
BALBGJOJ_00048	CDS	1347			COG2239	Magnesium transporter MgtE
BALBGJOJ_00049	CDS	2457	leuS	6.1.1.4		Leucine--tRNA ligase
BALBGJOJ_00050	CDS	987	surA	5.2.1.8		Chaperone SurA
BALBGJOJ_00051	CDS	1059				hypothetical protein
BALBGJOJ_00052	CDS	1074	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
BALBGJOJ_00053	CDS	1281	serS	6.1.1.11	COG0172	Serine--tRNA ligase
BALBGJOJ_00054	CDS	1890	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
BALBGJOJ_00055	CDS	330				hypothetical protein
BALBGJOJ_00056	CDS	1617				putative protein
BALBGJOJ_00057	CDS	459				hypothetical protein
BALBGJOJ_00058	CDS	783	ytpA	3.1.1.-	COG2267	Phospholipase YtpA
BALBGJOJ_00059	CDS	477	fliW		COG1699	Flagellar assembly factor FliW
BALBGJOJ_00060	CDS	282	csrA			Translational regulator CsrA
BALBGJOJ_00061	CDS	285	gatC	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
BALBGJOJ_00062	CDS	405				hypothetical protein
BALBGJOJ_00063	CDS	444	smpB		COG0691	SsrA-binding protein
BALBGJOJ_00064	CDS	750	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
BALBGJOJ_00065	CDS	1116	glgC_1	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
BALBGJOJ_00066	CDS	1248	glgC_2	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
BALBGJOJ_00067	CDS	987				hypothetical protein
BALBGJOJ_00068	CDS	981	ispF	4.6.1.12		2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
BALBGJOJ_00069	CDS	555	frr		COG0233	Ribosome-recycling factor
BALBGJOJ_00070	CDS	705	uppS	2.5.1.-	COG0020	Isoprenyl transferase
BALBGJOJ_00071	CDS	864	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
BALBGJOJ_00072	CDS	2604	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
BALBGJOJ_00073	CDS	1014	mreB		COG1077	Cell shape-determining protein MreB
BALBGJOJ_00074	CDS	621				hypothetical protein
BALBGJOJ_00075	CDS	600				hypothetical protein
BALBGJOJ_00076	CDS	1272	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
BALBGJOJ_00077	CDS	1872	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
BALBGJOJ_00078	CDS	873	hslO		COG1281	33 kDa chaperonin
BALBGJOJ_00079	CDS	609				hypothetical protein
BALBGJOJ_00080	CDS	1524				hypothetical protein
BALBGJOJ_00081	CDS	723	walR_1		COG0745	Transcriptional regulatory protein WalR
BALBGJOJ_00082	CDS	1290	phoR	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
BALBGJOJ_00083	CDS	1305	pdp	2.4.2.2		Pyrimidine-nucleoside phosphorylase
BALBGJOJ_00084	CDS	1578				hypothetical protein
BALBGJOJ_00085	CDS	483				hypothetical protein
BALBGJOJ_00086	CDS	1029				hypothetical protein
BALBGJOJ_00087	CDS	411	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
BALBGJOJ_00088	CDS	975	rlmN_1	2.1.1.192		Dual-specificity RNA methyltransferase RlmN
BALBGJOJ_00089	CDS	804		4.3.1.9	COG0492	Glucosaminate ammonia-lyase
BALBGJOJ_00090	CDS	2202				hypothetical protein
BALBGJOJ_00091	CDS	1299	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
BALBGJOJ_00092	CDS	318	rplU		COG0261	50S ribosomal protein L21
BALBGJOJ_00093	CDS	312				hypothetical protein
BALBGJOJ_00094	CDS	273	rpmA		COG0211	50S ribosomal protein L27
BALBGJOJ_00095	CDS	525	ribU		COG3601	Riboflavin transporter RibU
BALBGJOJ_00096	CDS	447	rplM		COG0102	50S ribosomal protein L13
BALBGJOJ_00097	CDS	399	rpsI		COG0103	30S ribosomal protein S9
BALBGJOJ_00098	CDS	1719	dnaG	2.7.7.-		DNA primase
BALBGJOJ_00099	CDS	1116	sigA		COG0568	RNA polymerase sigma factor SigA
BALBGJOJ_00100	CDS	2646				hypothetical protein
BALBGJOJ_00101	CDS	3447				hypothetical protein
BALBGJOJ_00102	CDS	2022	smc_1			Chromosome partition protein Smc
BALBGJOJ_00103	CDS	1236				hypothetical protein
BALBGJOJ_00104	CDS	1230				hypothetical protein
BALBGJOJ_00105	CDS	1062	capD	5.1.3.2	COG1086	UDP-glucose 4-epimerase
