locus_tag	ftype	length_bp	gene	EC_number	COG	product
JCHAPMNJ_00001	CDS	1416	dnaA		COG0593	Chromosomal replication initiator protein DnaA
JCHAPMNJ_00002	CDS	183				hypothetical protein
JCHAPMNJ_00003	CDS	1194	dnaN		COG0592	Beta sliding clamp
JCHAPMNJ_00004	CDS	1206	recF		COG1195	DNA replication and repair protein RecF
JCHAPMNJ_00005	CDS	513				hypothetical protein
JCHAPMNJ_00006	CDS	369				hypothetical protein
JCHAPMNJ_00007	tRNA	75				tRNA-Asp(gtc)
JCHAPMNJ_00008	tRNA	74				tRNA-Glu(ttc)
JCHAPMNJ_00009	CDS	603				hypothetical protein
JCHAPMNJ_00010	CDS	1542	cca	2.7.7.72		CCA-adding enzyme
JCHAPMNJ_00011	CDS	618	rppH	3.6.1.-		RNA pyrophosphohydrolase
JCHAPMNJ_00012	CDS	2319				hypothetical protein
JCHAPMNJ_00013	CDS	1686	mviN_1		COG0728	putative peptidoglycan biosynthesis protein MviN
JCHAPMNJ_00014	CDS	1575	mviN_2		COG0728	putative peptidoglycan biosynthesis protein MviN
JCHAPMNJ_00015	CDS	609	sigM			ECF RNA polymerase sigma factor SigM
JCHAPMNJ_00016	CDS	825				hypothetical protein
JCHAPMNJ_00017	CDS	972	trxB	1.8.1.9	COG0492	Thioredoxin reductase
JCHAPMNJ_00018	CDS	330	trxA		COG0526	Thioredoxin
JCHAPMNJ_00019	CDS	1209	cwlM	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase CwlM
JCHAPMNJ_00020	CDS	1320				hypothetical protein
JCHAPMNJ_00021	CDS	702				hypothetical protein
JCHAPMNJ_00022	CDS	1287	ufaA1	2.1.1.-	COG2230	Tuberculostearic acid methyltransferase UfaA1
JCHAPMNJ_00023	CDS	795				hypothetical protein
JCHAPMNJ_00024	CDS	648	sigK		COG1595	ECF RNA polymerase sigma factor SigK
JCHAPMNJ_00025	CDS	711	rskA			Anti-sigma-K factor RskA
JCHAPMNJ_00026	CDS	753				hypothetical protein
JCHAPMNJ_00027	CDS	294				hypothetical protein
JCHAPMNJ_00028	CDS	210				hypothetical protein
JCHAPMNJ_00029	CDS	291				hypothetical protein
JCHAPMNJ_00030	CDS	240				hypothetical protein
JCHAPMNJ_00031	CDS	285				hypothetical protein
JCHAPMNJ_00032	CDS	897				hypothetical protein
JCHAPMNJ_00033	CDS	549				hypothetical protein
JCHAPMNJ_00034	CDS	198				hypothetical protein
JCHAPMNJ_00035	CDS	753				hypothetical protein
JCHAPMNJ_00036	CDS	657				hypothetical protein
JCHAPMNJ_00037	CDS	402	ssb_1		COG0629	Single-stranded DNA-binding protein
JCHAPMNJ_00038	CDS	354				hypothetical protein
JCHAPMNJ_00039	CDS	153				hypothetical protein
JCHAPMNJ_00040	CDS	363				hypothetical protein
JCHAPMNJ_00041	CDS	516				hypothetical protein
JCHAPMNJ_00042	CDS	936				hypothetical protein
JCHAPMNJ_00043	CDS	366				hypothetical protein
JCHAPMNJ_00044	CDS	387				hypothetical protein
JCHAPMNJ_00045	CDS	201				hypothetical protein
JCHAPMNJ_00046	CDS	312				hypothetical protein
JCHAPMNJ_00047	CDS	213				hypothetical protein
JCHAPMNJ_00048	CDS	237				hypothetical protein
JCHAPMNJ_00049	CDS	321				hypothetical protein
JCHAPMNJ_00050	CDS	471				hypothetical protein
JCHAPMNJ_00051	CDS	429				hypothetical protein
JCHAPMNJ_00052	CDS	579				hypothetical protein
JCHAPMNJ_00053	CDS	312				hypothetical protein
JCHAPMNJ_00054	CDS	780				hypothetical protein
JCHAPMNJ_00055	CDS	222				hypothetical protein
JCHAPMNJ_00056	CDS	1761				hypothetical protein
JCHAPMNJ_00057	CDS	657				hypothetical protein
JCHAPMNJ_00058	CDS	321				hypothetical protein
JCHAPMNJ_00059	CDS	255				hypothetical protein
JCHAPMNJ_00060	CDS	384				hypothetical protein
JCHAPMNJ_00061	CDS	480				hypothetical protein
JCHAPMNJ_00062	CDS	369				hypothetical protein
JCHAPMNJ_00063	CDS	279				hypothetical protein
JCHAPMNJ_00064	CDS	186				hypothetical protein
JCHAPMNJ_00065	CDS	264				hypothetical protein
JCHAPMNJ_00066	CDS	1416				hypothetical protein
JCHAPMNJ_00067	CDS	1404				hypothetical protein
JCHAPMNJ_00068	CDS	684				hypothetical protein
JCHAPMNJ_00069	CDS	477				hypothetical protein
JCHAPMNJ_00070	CDS	909				hypothetical protein
JCHAPMNJ_00071	CDS	468				hypothetical protein
JCHAPMNJ_00072	CDS	342				hypothetical protein
JCHAPMNJ_00073	CDS	309				hypothetical protein
JCHAPMNJ_00074	CDS	399				hypothetical protein
JCHAPMNJ_00075	CDS	648				hypothetical protein
JCHAPMNJ_00076	CDS	333				hypothetical protein
JCHAPMNJ_00077	CDS	384				hypothetical protein
